C865,11/01/2022,-2441
C865,11/02/2022,9134
C865,11/03/2022,7793
C865,11/04/2022,7498
C865,11/05/2022,-7947
C865,11/06/2022,-1927
C865,11/07/2022,9722
C865,11/08/2022,5683
C865,11/09/2022,-4906
C865,11/10/2022,-4727
C865,11/11/2022,9529
C865,11/12/2022,5056
C865,11/13/2022,4038
C865,11/14/2022,1854
C865,11/15/2022,-5699
C865,11/16/2022,7353
C865,11/17/2022,-5561
C865,11/18/2022,-9503
C865,11/19/2022,-917
C865,11/20/2022,-7573
C865,11/21/2022,349
C865,11/22/2022,707
C865,11/23/2022,2178
C865,11/24/2022,-4048
C865,11/25/2022,9486
C865,11/26/2022,1349
C865,11/27/2022,4255
C865,11/28/2022,-8417
C865,11/29/2022,1208
C865,11/30/2022,-2189
