C231,11/01/2022,9232
C231,11/02/2022,6061
C231,11/03/2022,5108
C231,11/04/2022,9086
C231,11/05/2022,-8534
C231,11/06/2022,-2961
C231,11/07/2022,2661
C231,11/08/2022,-7651
C231,11/09/2022,-6398
C231,11/10/2022,-5988
C231,11/11/2022,7025
C231,11/12/2022,6429
C231,11/13/2022,-6819
C231,11/14/2022,729
C231,11/15/2022,3797
C231,11/16/2022,3030
C231,11/17/2022,-7192
C231,11/18/2022,-5553
C231,11/19/2022,2875
C231,11/20/2022,6599
C231,11/21/2022,-690
C231,11/22/2022,-3730
C231,11/23/2022,6818
C231,11/24/2022,3261
C231,11/25/2022,5339
C231,11/26/2022,9373
C231,11/27/2022,9937
C231,11/28/2022,-6007
C231,11/29/2022,7607
C231,11/30/2022,-3444
